1920 </s>	<s>
   3 of	other
   3 of	one
   3 of	mrs.
   3 of	money
   3 of	medicine
   3 of	marketing
   3 of	many
   3 of	jobs
   3 of	it
   3 of	international
   3 of	goldman
   3 of	georgia
   3 of	england
   3 of	education
   3 of	eastern
   3 of	china
   3 of	certain
   3 of	basic
   3 of	bank
   3 of	1990
   3 number	,
   3 now	the
   3 noted	that
   3 not	the
   3 not	be
   3 not	,
   3 nl	and
   3 newsweek	,
   3 newsweek	's
   3 new	job
   3 needed	to
   3 named	senior
   3 named	a
   3 n.j	.
   3 n't	want
   3 n't	know
   3 n't	always
   3 n't	.
   3 mutual	funds
   3 much	.
   3 ms.	poore
   3 mr.	watson
   3 mr.	sonnett
   3 mr.	sherwood
   3 mr.	ross
   3 mr.	rapanelli
   3 mr.	pratt
   3 mr.	porter
   3 mr.	pickens
   3 mr.	mcalpine
   3 mr.	martin
   3 mr.	klauser
   3 mr.	guffey
   3 mr.	dallara
   3 mr.	baldwin
   3 mortgage-backed	securities
   3 moreover	,
   3 more	often
   3 more	like
   3 more	and
   3 month	before
   3 model	year
   3 mitsubishi	estate
   3 ministry	of
   3 millions	of
   3 million	shares
   3 million	customers
   3 million	barrels
   3 million	air
   3 million	)
   3 mich.	,
   3 miami	,
   3 merc	said
   3 members	.
   3 meet	the
   3 may	not
   3 materials	are
   3 materials	,
   3 markets	.
   3 market	in
   3 manufacturing	sector
   3 malaysia	,
   3 makes	it
   3 maker	said
   3 maker	,
   3 make	the
   3 make	it
   3 make	a
   3 majority	of
   3 magazine	's
   3 made	the
   3 loss	for
   3 los	angeles
   3 looking	for
   3 like	to
   3 lift	the
   3 life	of
   3 life	,
   3 level	.
   3 lehman	hutton
   3 lawyers	.
   3 later	,
   3 last	march
   3 la	tache
   3 korea	has
   3 knowledge	of
   3 kent	cigarettes
   3 just	as
   3 just	a
   3 jones	industrial
   3 joint	venture
   3 job	.
   3 japanese	manufacturers
   3 japanese	demand
   3 its	president
   3 its	common
   3 it	up
   3 it	to
   3 it	made
   3 it	in
   3 it	completed
   3 it	can
   3 issue	is
   3 issue	,
   3 is	part
   3 is	on
   3 is	less
   3 is	just
   3 is	based
   3 is	almost
   3 involved	in
   3 investors	to
   3 investors	,
   3 investor	,
   3 international	business
   3 intellectual-property	rights
   3 instead	,
   3 industry	.
   3 industries	inc.
   3 index	points
   3 index	of
   3 include	the
   3 inc.	for
   3 inc	.
   3 in	western
   3 in	two
   3 in	time
   3 in	three
   3 in	that
   3 in	terms
   3 in	such
   3 in	stock
   3 in	southeast
   3 in	other
   3 in	november
   3 in	light
   3 in	late
   3 in	france
   3 in	fact
   3 in	each
   3 in	connection
   3 in	both
   3 in	1986
   3 in	1984
   3 in	1977
   3 i	would
   3 hudson	general
   3 however	.
   3 home	.
   3 history	,
   3 his	campaign
   3 him	to
   3 hills	said
   3 hills	,
   3 higher	than
   3 high	,
   3 her	to
   3 her	,
   3 heavy	industries
   3 hearing	,
   3 health	and
   3 health	,
   3 he	also
   3 he	adds
   3 having	the
   3 have	long
   3 have	become
   3 have	,
   3 has	said
   3 has	no
   3 has	become
   3 has	an
   3 has	always
   3 has	about
   3 had	no
   3 had	for
   3 gulf	's
   3 growth	.
   3 group	is
   3 great	deal
   3 general	,
   3 futures	trading
   3 futures	prices
   3 funds	were
   3 funds	that
   3 funds	'
   3 funding	of
   3 funding	for
   3 full	of
   3 from	its
   3 from	association
   3 from	an
   3 four	years
   3 foster	corporate
   3 former	president
   3 force	contract
   3 for	some
   3 for	other
   3 for	one
   3 for	new
   3 for	another
   3 for	american
   3 for	alleged
   3 for	1990
   3 following	a
   3 florio	's
   3 first	half
   3 findings	that
   3 financial	markets
   3 financial	institutions
   3 few	years
   3 female	voice
   3 fell	to
   3 federal	government
   3 federal	funds
   3 federal	budget
   3 far	,
   3 fannie	mae
   3 face	of
   3 exchange	said
   3 exchange	commission
   3 exact	questions
   3 even	though
   3 even	if
   3 estate	co.
   3 equipment	.
   3 equipment	,
   3 england	,
   3 elaborate	.
   3 efforts	to
   3 effect	,
   3 education	,
   3 edison	.
   3 economy	is
   3 economy	.
   3 economy	,
   3 easy	to
   3 eastern	edison
   3 eager	to
   3 each	of
   3 dr.	talcott
   3 dr.	mason
   3 down	to
   3 down	the
   3 down	,
   3 dollars	in
   3 do	it
   3 do	for
   3 dividend	increases
   3 diseases	,
   3 director	at
   3 dinkins	's
   3 did	not
   3 diamond	creek
   3 department	of
   3 defense	lawyers
   3 declines	in
   3 decline	in
   3 decision	was
   3 decision	to
   3 decade	,
   3 debt	.
   3 debt	,
   3 dealers	said
   3 days	before
   3 days	and
   3 david	dinkins
   3 d.	,
   3 cut	the
   3 crunch	,
   3 critics	say
   3 credit	card
   3 crash	.
   3 covered	by
   3 court	has
   3 country	.
   3 countries	in
   3 could	get
   3 corp.	and
   3 copies	of
   3 cop-killer	bullets
   3 continues	to
   3 considered	by
   3 connection	with
   3 concern	about
   3 compound	yield
   3 company	also
   3 companies	.
   3 common	.
   3 committee	,
   3 commercial	banks
   3 comment	on
   3 columbia	pictures
   3 co.	said
   3 co.	's
   3 closed	at
   3 close	at
   3 clients	who
   3 class	,
   3 cigarette	filters
   3 church	in
   3 china	,
   3 checking	,
   3 chase	''
   3 change	in
   3 chairman	and
   3 cash	.
   3 case	.
   3 case	,
   3 carolina	's
   3 carla	hills
   3 capital	goods
   3 capital	.
   3 capacity	and
   3 california	's
   3 by	next
   3 by	japanese
   3 by	$
   3 but	some
   3 but	said
   3 but	for
   3 but	also
   3 but	a
   3 business	to
   3 business	,
   3 budget	deficit
   3 braidwood	2
   3 bottle	,
   3 bond	prices
   3 billions	of
   3 billion	after
   3 bill	to
   3 big	three
   3 bid	to
   3 bid	and
   3 between	$
   3 belts	in
   3 below	3
   3 bell	's
   3 believe	the
   3 being	a
   3 beginning	to
   3 began	in
   3 been	sold
   3 become	a
   3 because	many
   3 because	``
   3 be	used
   3 be	less
   3 be	in
   3 be	auctioned
   3 basic	skills
   3 banks	have
   3 bank	stocks
   3 bank	.
   3 ban	on
   3 away	from
   3 aware	of
   3 average	of
   3 august	.
   3 at	young
   3 at	unfair
   3 at	st.
   3 at	night
   3 at	greenville
   3 at	an
   3 at	about
   3 association	with
   3 asia	,
   3 asia	's
   3 asbestos-related	diseases
   3 as	it
   3 artist	,
   3 are	to
   3 are	still
   3 are	more
   3 are	looking
   3 are	growing
   3 are	being
   3 april	1991
   3 answers	to
   3 answers	.
   3 annual	rate
   3 and	will
   3 and	what
   3 and	there
   3 and	stock-index
   3 and	south
   3 and	six-month
   3 and	said
   3 and	nl
   3 and	new
   3 and	marketing
   3 and	japanese
   3 and	international
   3 and	industry
   3 and	human
   3 and	his
   3 and	he
   3 and	former
   3 and	exchange
   3 and	even
   3 and	development
   3 and	by
   3 and	business
   3 and	at
   3 and	answers
   3 and	10-day
   3 analyst	at
   3 an	interview
   3 an	increase
   3 an	effort
   3 an	annual
   3 an	ad
   3 among	the
   3 also	of
   3 also	has
   3 also	are
   3 along	with
   3 alleged	violations
   3 air	force
   3 ahead	of
   3 age	,
   3 again	.
   3 administration	officials
   3 addition	to
   3 added	,
   3 action	.
   3 act	.
   3 accounts	.
   3 above	the
   3 about	two
   3 about	japanese
   3 about	clients
   3 abortion	.
   3 abortion	,
   3 ability	to
   3 a	woman
   3 a	wild
   3 a	very
   3 a	unit
   3 a	u.s.
   3 a	third
   3 a	student
   3 a	state
   3 a	special
   3 a	single
   3 a	similar
   3 a	savings
   3 a	review
   3 a	possible
   3 a	political
   3 a	percentage
   3 a	net
   3 a	negative
   3 a	majority
   3 a	look
   3 a	large
   3 a	japanese
   3 a	high
   3 a	federal
   3 a	dozen
   3 a	director
   3 a	day
   3 a	client
   3 a	buy-out
   3 a	boost
   3 a	bonus
   3 a	bank
   3 ``	these
   3 ``	that
   3 ``	so
   3 ``	people
   3 <s>	your
   3 <s>	yet
   3 <s>	yesterday
   3 <s>	who
   3 <s>	those
   3 <s>	temple
   3 <s>	take
   3 <s>	still
   3 <s>	previously
   3 <s>	partly
   3 <s>	now
   3 <s>	newsweek
   3 <s>	neither
   3 <s>	moreover
   3 <s>	magna
   3 <s>	interpublic
   3 <s>	instead
   3 <s>	indeed
   3 <s>	government
   3 <s>	georgia
   3 <s>	fujitsu
   3 <s>	esso
   3 <s>	dr.
   3 <s>	because
   3 <s>	bank
   3 <s>	an
   3 ;	william
   3 ;	richard
   3 8	%
   3 6	%
   3 51	%
   3 50	million
   3 4	%
   3 30	million
   3 30	.
   3 2comma500	and
   3 25comma000	;
   3 20	%
   3 2	%
   3 1990	and
   3 1985	.
   3 1976	,
   3 19	%
   3 18	%
   3 13	,
   3 11	million
   3 10comma000	and
   3 10-day	suspension
   3 1/4	.
   3 1	.
   3 ...	.
   3 --	such
   3 --	one
   3 --	if
   3 --	$
   3 ,	would
   3 ,	we
   3 ,	using
   3 ,	traders
   3 ,	took
   3 ,	told
   3 ,	taiwan
   3 ,	st.
   3 ,	sea
   3 ,	ringers
   3 ,	resigned
   3 ,	particularly
   3 ,	pa.
   3 ,	only
   3 ,	n.j
   3 ,	most
   3 ,	more
   3 ,	making
   3 ,	leaving
   3 ,	known
   3 ,	japan
   3 ,	if
   3 ,	from
   3 ,	especially
   3 ,	each
   3 ,	dr.
   3 ,	director
   3 ,	currently
   3 ,	cray
   3 ,	consented
   3 ,	chinese
   3 ,	chairman
   3 ,	bang
   3 ,	are
   3 ,	announced
   3 ,	analysts
   3 ,	among
   3 ,	all
   3 )	;
   3 (	d.
   3 's	president
   3 's	leap
   3 's	common
   3 's	campaign
   3 's	and
   3 's	ad
   3 's	.
   3 'll	take
   3 ''	to
   3 ''	as
   3 ''	added
   3 '	plan
   3 %	the
   3 %	said
   3 %	have
   3 $	45
   3 $	2
   3 $	120
   2 }	is
   2 your	foster
   2 young	woman
   2 young	people
   2 young	children
   2 young	&
   2 you	to
   2 you	look
   2 you	gotta
   2 you	do
   2 you	are
   2 you	're
   2 you	'll
   2 york	trading
   2 yield	fell
   2 yield	.
   2 yesterday	to
   2 yesterday	that
   2 yesterday	.
   2 yen	late
   2 yen	from
   2 yen	a
   2 yen	.
   2 years	of
   2 yeargin	is
   2 year-earlier	period
   2 year	with
   2 year	the
   2 yamamoto	,
   2 x	funds
   2 wrong	with
   2 writers	guild
   2 writer	,
   2 would	support
   2 would	suffer
   2 would	sell
   2 would	result
   2 would	bring
   2 worth	.
   2 worry	that
   2 world	bank
   2 working	conditions
   2 workers	and
   2 work	.
   2 woman	in
   2 woman	's
   2 with	young
   2 with	very
   2 with	their
   2 with	some
   2 with	only
   2 with	mr.
   2 with	most
   2 with	less
   2 with	international
   2 with	even
   2 with	bank
   2 with	any
   2 with	another
   2 with	an
   2 wines	that
   2 wines	from
   2 wines	,
   2 wines	(
   2 wine	shops
   2 wine	at
   2 win	a
   2 william	e.
   2 will	support
   2 will	succeed
   2 will	still
   2 will	require
   2 will	receive
   2 will	raise
   2 will	introduce
   2 will	go
   2 wilder	's
   2 widely	used
   2 who	were
   2 who	was
   2 who	took
   2 who	pay
   2 who	owns
   2 who	in
   2 who	do
   2 who	came
   2 who	apparently
   2 whiting	field
   2 while	mr.
   2 while	a
   2 which	would
   2 which	she
   2 which	made
   2 which	he
   2 which	have
   2 which	had
   2 which	currently
   2 whether	to
   2 when	their
   2 when	it
   2 what	will
   2 what	they
   2 what	it
   2 western	civilization
   2 were	up
   2 were	sold
   2 were	reported
   2 were	fined
   2 were	barred
   2 weisfield	's
   2 week	will
   2 week	to
   2 we	would
   2 we	want
   2 we	need
   2 we	got
   2 we	could
   2 we	are
   2 ways	to
   2 way	,
   2 watson	says
   2 watches	that
   2 watches	,
   2 watch	the
   2 watch	imports
   2 waste	management
   2 washington	and
   2 washington	.
   2 washington	's
   2 was	used
   2 was	up
   2 was	trying
   2 was	so
   2 was	put
   2 was	previously
   2 was	on
   2 was	off
   2 was	needed
   2 was	nancy
   2 was	like
   2 was	just
   2 was	in
   2 was	going
   2 was	general
   2 was	elected
   2 was	designed
   2 was	being
   2 was	based
   2 was	barred
   2 was	afraid
   2 ward	.
   2 want	the
   2 wakui	says
   2 wake	of
   2 wait	until
   2 wage	floor
   2 voting	stock
   2 voted	to
   2 vote	for
   2 volume	,
   2 virtually	all
   2 virginia	:
   2 virgin	islands
   2 vineyard	cabernet
   2 view	of
   2 victims	.
   2 victim	.
   2 vicar	of
   2 viacom	's
   2 very	little
   2 very	different
   2 version	of
   2 venture	economics
   2 vegas	,
   2 valley	federal
   2 valley	,
   2 uses	of
   2 use	their
   2 upheld	a
   2 up	its
   2 up	and
   2 up	,
   2 until	next
   2 until	last
   2 until	congress
   2 unless	it
   2 university	patents
   2 united	kingdom
   2 union	's
   2 unfair	testing
   2 u.s.	was
   2 u.s.	wants
   2 u.s.	unit
   2 u.s.	treasury
   2 u.s.	tariff
   2 u.s.	securities
   2 u.s.	sales
   2 u.s.	public
   2 u.s.	officials
   2 u.s.	economy
   2 u.s.	economic
   2 u.s.	companies
   2 u.s.	bond
   2 u.s.	assistant
   2 two-week	suspension
   2 two	new
   2 two	million
   2 two	issues
   2 two	.
   2 tv	:
   2 turned	down
   2 tuesday	to
   2 tuesday	's
   2 try	to
   2 truth	?
   2 true	but
   2 trudeau	is
   2 trudeau	.
   2 trotter	iii
   2 trotter	ii
   2 treasury	debt
   2 transaction	that
   2 transaction	.
   2 trading	is
   2 trading	company
   2 trading	by
   2 trades	.
   2 traders	are
   2 traded	in
   2 trade	law
   2 trade	deficit
   2 trade	at
   2 torrington	,
   2 took	the
   2 took	a
   2 too	high
   2 too	early
   2 too	.
   2 told	the
   2 told	mr.
   2 told	a
   2 tokyo	giants
   2 tokyo	,
   2 together	with
   2 together	by
   2 to	work
   2 to	withdraw
   2 to	two
   2 to	try
   2 to	trade
   2 to	this
   2 to	that
   2 to	test
   2 to	talk
   2 to	start
   2 to	sony
   2 to	slow
   2 to	shareholders
   2 to	share
   2 to	roll
   2 to	rise
   2 to	resolve
   2 to	remove
   2 to	refund
   2 to	recommend
   2 to	recognize
   2 to	pursue
   2 to	provide
   2 to	pressure
   2 to	pick
   2 to	obtain
   2 to	more
   2 to	modify
   2 to	limit
   2 to	leave
   2 to	last
   2 to	know
   2 to	introduce
   2 to	indicate
   2 to	increase
   2 to	honor
   2 to	his
   2 to	harass
   2 to	greenville
   2 to	government
   2 to	gain
   2 to	force
   2 to	expand
   2 to	execute
   2 to	elaborate
   2 to	drop
   2 to	draw
   2 to	die
   2 to	design
   2 to	customers
   2 to	cover
   2 to	continue
   2 to	common
   2 to	come
   2 to	boost
   2 to	big
   2 to	begin
   2 to	become
   2 to	audit
   2 to	announce
   2 to	american
   2 to	advertise
   2 to	add
   2 to	accommodate
   2 to	62
   2 to	21
   2 to	2
   2 to	18
   2 to	14
   2 title	x
   2 tissue	into
   2 time	to
   2 time	the
   2 time	since
   2 time	for
   2 time	a
   2 tied	to
   2 thursday	night
   2 thursday	.
   2 thursday	,
   2 through	its
   2 three	rally
   2 thousands	of
   2 thought	to
   2 though	the
   2 though	it
   2 though	,
   2 those	who
   2 those	of
   2 those	in
   2 those	dividend
   2 those	countries
   2 this	time
   2 this	summer
   2 this	one
   2 this	month
   2 this	british
   2 this	article
   2 third-quarter	loss
   2 third	of
   2 think	the
   2 think	of
   2 things	to
   2 they	worry
   2 they	want
   2 they	pay
   2 they	like
   2 they	imported
   2 they	hold
   2 these	people
   2 these	nations
   2 these	individuals
   2 these	funds
   2 there	was
   2 there	,
   2 then	this
   2 themselves	.
   2 them	for
   2 their	shares
   2 their	payouts
   2 their	money
   2 their	films
   2 the	working
   2 the	workers
   2 the	whiting
   2 the	washington
   2 the	wall
   2 the	wake
   2 the	virgin
   2 the	vicar
   2 the	value
   2 the	use
   2 the	unusual
   2 the	united
   2 the	tv
   2 the	truth
   2 the	tramp
   2 the	training
   2 the	top
   2 the	tokyo
   2 the	three
   2 the	theory
   2 the	texas
   2 the	tests
   2 the	supercomputer
   2 the	summer
   2 the	suit
   2 the	subject
   2 the	spokesman
   2 the	soviets
   2 the	social
   2 the	sixth
   2 the	six
   2 the	situation
   2 the	rule
   2 the	ropes
   2 the	risk
   2 the	ringing
   2 the	researchers
   2 the	research
   2 the	remaining
   2 the	remainder
   2 the	reason
   2 the	rear-seat
   2 the	ratings
   2 the	rates
   2 the	question
   2 the	public
   2 the	prosecution
   2 the	project
   2 the	press
   2 the	possible
   2 the	possibility
   2 the	policy
   2 the	picture
   2 the	period
   2 the	payment
   2 the	panel
   2 the	pacific
   2 the	over-the-counter
   2 the	organization
   2 the	order
   2 the	official
   2 the	october
   2 the	oct.
   2 the	newspaper
   2 the	news
   2 the	netherlands
   2 the	need
   2 the	nasdaq
   2 the	nagymaros
   2 the	move
   2 the	monthly
   2 the	moment
   2 the	message
   2 the	measure
   2 the	manager
   2 the	lower
   2 the	loss
   2 the	long
   2 the	level
   2 the	language
   2 the	kind
   2 the	kicker
   2 the	key
   2 the	kent
   2 the	johnson
   2 the	japan
   2 the	international
   2 the	internal
   2 the	interest
   2 the	insurance
   2 the	information
   2 the	industry
   2 the	indianapolis
   2 the	increasingly
   2 the	hotel
   2 the	hearing
   2 the	guards
   2 the	growth
   2 the	great
   2 the	glass
   2 the	futures
   2 the	full
   2 the	french
   2 the	fourth
   2 the	foreign
   2 the	firms
   2 the	financial
   2 the	filters
   2 the	film
   2 the	figure
   2 the	fight
   2 the	fifth-grade
   2 the	fifth
   2 the	few
   2 the	female
   2 the	fast-food
   2 the	factory
   2 the	extent
   2 the	executives
   2 the	examination
   2 the	equivalent
   2 the	dumpster
   2 the	documents
   2 the	dividend
   2 the	dispute
   2 the	disease
   2 the	discussions
   2 the	decline
   2 the	deals
   2 the	crime
   2 the	courter
   2 the	course
   2 the	contracts
   2 the	congregation
   2 the	computer
   2 the	competitive
   2 the	committee
   2 the	coming
   2 the	collar
   2 the	client
   2 the	classroom
   2 the	chinese
   2 the	charges
   2 the	cat
   2 the	cash
   2 the	campaign
   2 the	british
   2 the	bottom
   2 the	body
   2 the	best
   2 the	bell
   2 the	basis
   2 the	banks
   2 the	auctions
   2 the	attack
   2 the	association
   2 the	arrangement
   2 the	apple
   2 the	announcer
   2 the	ancient
   2 the	aide
   2 the	acquisition
   2 the	aba
   2 the	`
   2 the	40
   2 the	30-point
   2 the	30-day
   2 that	you
   2 that	will
   2 that	u.s.
   2 that	this
   2 that	these
   2 that	there
   2 that	set
   2 that	publishes
   2 that	period
   2 that	orders
   2 that	of
   2 that	much
   2 that	mr.
   2 that	manufacturing
   2 that	makes
   2 that	invest
   2 that	include
   2 that	in
   2 that	if
   2 that	followed
   2 that	firms
   2 that	does
   2 that	commercial
   2 that	changed
   2 that	cause
   2 that	$
   2 than	one
   2 than	not
   2 than	most
   2 than	20
   2 texas	instruments
   2 texas	,
   2 tests	and
   2 tested	,
   2 test	the
   2 term	,
   2 tend	to
   2 temple	,
   2 telling	the
   2 telephone	listing
   2 telephone	co.
   2 technology	.
   2 technology	,
   2 team	of
   2 team	in
   2 teacher	who
   2 teacher	cadet
   2 teacher	,
   2 taxes	for
   2 taxable	funds
   2 task	force
   2 targets	.
   2 takuma	yamamoto
   2 takes	a
   2 takeover	targets
   2 taken	off
   2 taken	a
   2 take	it
   2 take	away
   2 system	to
   2 system	is
   2 synergistics	research
   2 symbol	of
   2 surprisingly	,
   2 surplus	of
   2 supply	of
   2 sugarman	,
   2 such	research
   2 such	bids
   2 such	an
   2 success	in
   2 succeed	mr.
   2 subsidiaries	in
   2 subject	to
   2 subject	of
   2 strong	growth
   2 stronach	will
   2 stronach	,
   2 strike	against
   2 strength	.
   2 street	journal
   2 street	,
   2 stories	,
   2 stories	''
   2 stood	at
   2 stocks	rose
   2 stocks	of
   2 stocks	have
